hallucination_id,type,original_value,injected_value,original_numeric,injected_numeric,position_char,sentence_approx,perturbation_delta,question_id
FB_096_3F49DA9A_H1,large_number,"3,000","1,899",3000,1899,440,2,-0.3669,FB_096_3F49DA9A
FB_097_2BA7758E_H2,percentage,76.8%,69.6%,76.8,69.6,109,2,-7.1807,FB_097_2BA7758E
FB_097_2BA7758E_H1,percentage,76.8%,70.4%,76.8,70.4,385,5,-6.3556,FB_097_2BA7758E
FB_098_7154A728_H2,dollar_amount,"$1,000 million",$801 million,1000,801,431,3,-0.1993,FB_098_7154A728
FB_098_7154A728_H1,dollar_amount,"$8,640 million","$12,001 million",8640,12001,597,4,0.389,FB_098_7154A728
FB_099_6BE111D5_H3,dollar_amount,$23 million,$18 million,23,18,142,2,-0.2112,FB_099_6BE111D5
FB_099_6BE111D5_H2,dollar_amount,"$7,500 million","$6,231 million",7500,6231,425,4,-0.1693,FB_099_6BE111D5
FB_099_6BE111D5_H1,dollar_amount,"$7,200 million","$9,150 million",7200,9150,543,5,0.2708,FB_099_6BE111D5
FB_100_6814F36E_H2,dollar_amount,"$1,748 million","$1,172 million",1748,1172,305,1,-0.3294,FB_100_6814F36E
FB_100_6814F36E_H1,dollar_amount,"$1,698 million","$2,011 million",1698,2011,521,1,0.1844,FB_100_6814F36E
FB_101_79109208_H2,dollar_amount,"$45,200 million","$37,987 million",45200,37987,483,1,-0.1596,FB_101_79109208
FB_101_79109208_H1,dollar_amount,"$46,800 million","$64,022 million",46800,64022,524,1,0.368,FB_101_79109208
FB_102_F5764A3D_H2,dollar_amount,"$22,189 million","$16,467 million",22189,16467,147,1,-0.2579,FB_102_F5764A3D
FB_102_F5764A3D_H1,dollar_amount,"$12,242 million","$14,968 million",12242,14968,726,5,0.2227,FB_102_F5764A3D
FB_103_98E6E9E2_H2,dollar_amount,"$65,398 million","$90,117 million",65398,90117,110,1,0.378,FB_103_98E6E9E2
FB_103_98E6E9E2_H1,dollar_amount,"$67,045 million","$87,879 million",67045,87879,214,1,0.3107,FB_103_98E6E9E2
FB_104_AE0FFD33_H3,dollar_amount,"$1,479 million",$952 million,1479,952,90,1,-0.3563,FB_104_AE0FFD33
FB_104_AE0FFD33_H2,dollar_amount,"$1,379 million","$1,050 million",1379,1050,205,1,-0.2384,FB_104_AE0FFD33
FB_104_AE0FFD33_H1,dollar_amount,"$1,295 million","$1,084 million",1295,1084,300,1,-0.1626,FB_104_AE0FFD33
FB_105_61DCE693_H3,dollar_amount,"$12,865 million","$8,743 million",12865,8743,448,1,-0.3204,FB_105_61DCE693
FB_105_61DCE693_H2,dollar_amount,"$13,165 million","$17,790 million",13165,17790,551,1,0.3513,FB_105_61DCE693
FB_105_61DCE693_H1,percentage,19.74%,12.12%,19.74,12.12,944,3,-7.6235,FB_105_61DCE693
FB_106_EB0A9203_H2,dollar_amount,$2 million,$1 million,2,1,213,2,-0.254,FB_106_EB0A9203
FB_107_B17259C6_H2,dollar_amount,$394 million,$532 million,394,532,307,1,0.3492,FB_107_B17259C6
FB_107_B17259C6_H1,dollar_amount,$96 million,$59 million,96,59,700,1,-0.3881,FB_107_B17259C6
FB_108_8E72B311_H2,dollar_amount,"$1,158 million",$793 million,1158,793,386,3,-0.3155,FB_108_8E72B311
FB_108_8E72B311_H1,dollar_amount,$410 million,$301 million,410,301,583,6,-0.267,FB_108_8E72B311
FB_109_F3781DA6_H2,dollar_amount,"$6,324 million","$4,868 million",6324,4868,333,3,-0.2302,FB_109_F3781DA6
FB_109_F3781DA6_H1,dollar_amount,$251 million,$210 million,251,210,543,5,-0.1614,FB_109_F3781DA6
FB_110_74F7847F_H2,dollar_amount,"$1,500 million","$1,210 million",1500,1210,160,1,-0.1933,FB_110_74F7847F
FB_110_74F7847F_H1,dollar_amount,$900 million,$730 million,900,730,247,3,-0.1893,FB_110_74F7847F
FB_111_A4B199F5_H3,dollar_amount,"$24,060 million","$15,037 million",24060,15037,118,1,-0.375,FB_111_A4B199F5
FB_111_A4B199F5_H2,dollar_amount,"$23,198 million","$19,557 million",23198,19557,233,2,-0.1569,FB_111_A4B199F5
FB_111_A4B199F5_H1,dollar_amount,"$23,674 million","$28,477 million",23674,28477,328,3,0.2029,FB_111_A4B199F5
FB_112_2DC55A31_H2,dollar_amount,"$51,000 million","$41,918 million",51000,41918,116,1,-0.1781,FB_112_2DC55A31
FB_112_2DC55A31_H1,dollar_amount,"$48,000 million","$28,845 million",48000,28845,219,1,-0.3991,FB_112_2DC55A31
FB_113_30E7F266_H2,large_number,"13,500","17,859",13500,17859,182,2,0.3229,FB_113_30E7F266
FB_113_30E7F266_H1,large_number,"1,200",906,1200,906,255,3,-0.2447,FB_113_30E7F266
FB_114_ACC06CE8_H2,dollar_amount,"$4,052 million","$2,742 million",4052,2742,102,2,-0.3233,FB_114_ACC06CE8
FB_114_ACC06CE8_H1,dollar_amount,"$2,474 million","$3,253 million",2474,3253,330,2,0.3149,FB_114_ACC06CE8
FB_115_AE55E4C4_H3,dollar_amount,"$12,199 million","$9,070 million",12199,9070,105,2,-0.2565,FB_115_AE55E4C4
FB_115_AE55E4C4_H2,large_number,"32,376","21,769",32376,21769,328,2,-0.3276,FB_115_AE55E4C4
FB_115_AE55E4C4_H1,percentage,37.7%,47.3%,37.7,47.3,1068,8,9.6416,FB_115_AE55E4C4
FB_116_1C09CCA7_H3,dollar_amount,"$7,883 million","$5,544 million",7883,5544,99,2,-0.2968,FB_116_1C09CCA7
FB_116_1C09CCA7_H2,dollar_amount,"$7,477 million","$9,099 million",7477,9099,218,2,0.2169,FB_116_1C09CCA7
FB_116_1C09CCA7_H1,dollar_amount,"$6,704 million","$4,680 million",6704,4680,317,2,-0.3019,FB_116_1C09CCA7
FB_117_C880E731_H3,dollar_amount,"$5,200 million","$6,037 million",5200,6037,453,5,0.161,FB_117_C880E731
FB_117_C880E731_H2,dollar_amount,"$4,951.50 million","$6,546.86 million",4951.50,6546.86,475,5,0.3222,FB_117_C880E731
FB_117_C880E731_H1,dollar_amount,"$4,951.50 million","$3,274.29 million",4951.50,3274.29,585,7,-0.3387,FB_117_C880E731
FB_118_8B6021A4_H3,large_number,"1,112",739,1112,739,635,2,-0.3357,FB_118_8B6021A4
FB_118_8B6021A4_H2,dollar_amount,"$5,752 million","$7,663 million",5752,7663,902,2,0.3322,FB_118_8B6021A4
FB_118_8B6021A4_H1,dollar_amount,"$5,066 million","$4,216 million",5066,4216,1491,2,-0.1678,FB_118_8B6021A4
FB_119_3CD84B18_H3,dollar_amount,"$18,407 million","$23,876 million",18407,23876,101,2,0.2971,FB_119_3CD84B18
FB_119_3CD84B18_H2,dollar_amount,"$10,498 million","$12,740 million",10498,12740,398,2,0.2135,FB_119_3CD84B18
FB_119_3CD84B18_H1,dollar_amount,"$10,226 million","$8,689 million",10226,8689,779,2,-0.1503,FB_119_3CD84B18
FB_120_223C47BE_H2,dollar_amount,$4.2 billion,$3.2 billion,4.2,3.2,223,3,-0.2296,FB_120_223C47BE
FB_120_223C47BE_H1,dollar_amount,$3.4 billion,$2.5 billion,3.4,2.5,330,5,-0.2681,FB_120_223C47BE
FB_124_C0D9EB5C_H3,dollar_amount,"$8,613 million","$6,616 million",8613,6616,178,1,-0.2319,FB_124_C0D9EB5C
FB_124_C0D9EB5C_H2,dollar_amount,"$11,813 million","$15,021 million",11813,15021,249,2,0.2715,FB_124_C0D9EB5C
FB_124_C0D9EB5C_H1,dollar_amount,"$10,200 million","$6,610 million",10200,6610,1149,3,-0.3519,FB_124_C0D9EB5C
FB_125_E7A2D24B_H3,percentage,23.9%,18.6%,23.9,18.6,104,1,-5.2866,FB_125_E7A2D24B
FB_125_E7A2D24B_H2,dollar_amount,"$13,209 million","$17,408 million",13209,17408,166,3,0.3179,FB_125_E7A2D24B
FB_125_E7A2D24B_H1,dollar_amount,"$17,188 million","$22,497 million",17188,22497,791,8,0.3089,FB_125_E7A2D24B
FB_126_3313FCA9_H3,percentage,35.5%,27.2%,35.5,27.2,188,2,-8.3173,FB_126_3313FCA9
FB_126_3313FCA9_H2,large_number,"355,000,000","475,408,619",355000000,475408619,372,4,0.3392,FB_126_3313FCA9
FB_126_3313FCA9_H1,large_number,"645,000,000","748,272,843",645000000,748272843,403,4,0.1601,FB_126_3313FCA9
FB_127_E1B380E5_H2,dollar_amount,$1.5 billion,$1.0 billion,1.5,1.0,135,2,-0.3125,FB_127_E1B380E5
FB_127_E1B380E5_H1,dollar_amount,$5.5 billion,$4.6 billion,5.5,4.6,181,3,-0.1561,FB_127_E1B380E5
FB_128_F410AC0E_H3,dollar_amount,"$3,000 million","$4,150 million",3000,4150,152,1,0.3832,FB_128_F410AC0E
FB_128_F410AC0E_H2,dollar_amount,"$41,173 million","$27,616 million",41173,27616,331,3,-0.3293,FB_128_F410AC0E
FB_128_F410AC0E_H1,dollar_amount,"$92,575 million","$107,506 million",92575,107506,475,5,0.1613,FB_128_F410AC0E
FB_129_1F62F697_H3,percentage,10%,14.2%,10,14.2,313,2,4.2192,FB_129_1F62F697
FB_129_1F62F697_H2,percentage,10.3%,16.9%,10.3,16.9,755,5,6.5824,FB_129_1F62F697
FB_129_1F62F697_H1,dollar_amount,$1.29 ,$1.00 ,1.29,1.00,1084,10,-0.2223,FB_129_1F62F697
FB_130_B646D047_H3,percentage,10%,17.6%,10,17.6,136,1,7.601,FB_130_B646D047
FB_130_B646D047_H2,percentage,8%,2.6%,8,2.6,168,1,-5.3668,FB_130_B646D047
FB_130_B646D047_H1,percentage,8%,17.0%,8,17.0,366,3,9.0396,FB_130_B646D047
FB_131_3A78CB5F_H2,dollar_amount,"$12,171 million","$8,948 million",12171,8948,140,2,-0.2648,FB_131_3A78CB5F
FB_131_3A78CB5F_H1,large_number,"11,396","7,869",11396,7869,521,2,-0.3095,FB_131_3A78CB5F
FB_132_9F7A4F77_H2,dollar_amount,"$20,028 million","$26,881 million",20028,26881,367,4,0.3422,FB_132_9F7A4F77
FB_132_9F7A4F77_H1,dollar_amount,"$2,200 million","$1,431 million",2200,1431,855,8,-0.3494,FB_132_9F7A4F77
FB_133_F4882588_H3,dollar_amount,"$11,400 million","$14,483 million",11400,14483,131,4,0.2705,FB_133_F4882588
FB_133_F4882588_H2,dollar_amount,"$2,000 million","$2,747 million",2000,2747,293,7,0.3737,FB_133_F4882588
FB_133_F4882588_H1,dollar_amount,"$1,000 million","$1,317 million",1000,1317,531,9,0.3168,FB_133_F4882588
FB_134_8EAD738D_H1,dollar_amount,"$1,200 million","$1,654 million",1200,1654,97,2,0.3784,FB_134_8EAD738D
FB_135_DFC4B0A4_H3,dollar_amount,"$3,174 million","$2,548 million",3174,2548,211,2,-0.1972,FB_135_DFC4B0A4
FB_135_DFC4B0A4_H2,dollar_amount,"$12,427 million","$16,404 million",12427,16404,423,7,0.3201,FB_135_DFC4B0A4
FB_135_DFC4B0A4_H1,percentage,4.0%,0.0%,4.0,0.0,504,7,-6.8871,FB_135_DFC4B0A4
FB_137_A71B03EF_H2,dollar_amount,"$1,000 million",$751 million,1000,751,191,2,-0.2493,FB_137_A71B03EF
FB_137_A71B03EF_H1,dollar_amount,"$1,500 million",$931 million,1500,931,529,3,-0.3791,FB_137_A71B03EF
FB_138_1767BBA1_H3,dollar_amount,"$3,900.5 million","$5,245.6 million",3900.5,5245.6,361,3,0.3449,FB_138_1767BBA1
FB_138_1767BBA1_H2,dollar_amount,"$3,200.2 million","$2,212.1 million",3200.2,2212.1,561,5,-0.3088,FB_138_1767BBA1
FB_138_1767BBA1_H1,dollar_amount,"$3,500.0 million","$2,497.7 million",3500.0,2497.7,873,8,-0.2864,FB_138_1767BBA1
FB_139_4FC46F83_H3,dollar_amount,"$2,800.0 million","$1,698.3 million",2800.0,1698.3,448,9,-0.3935,FB_139_4FC46F83
FB_139_4FC46F83_H2,percentage,42.4%,31.4%,42.4,31.4,562,11,-11.0346,FB_139_4FC46F83
FB_139_4FC46F83_H1,percentage,50.1%,43.9%,50.1,43.9,799,17,-6.1781,FB_139_4FC46F83
FB_140_E38BA3D2_H3,dollar_amount,"$1,211.8 million",$952.0 million,1211.8,952.0,115,1,-0.2144,FB_140_E38BA3D2
FB_140_E38BA3D2_H2,dollar_amount,"$1,050.5 million","$1,266.6 million",1050.5,1266.6,343,5,0.2057,FB_140_E38BA3D2
FB_140_E38BA3D2_H1,dollar_amount,"$1,646.5 million","$1,112.3 million",1646.5,1112.3,560,12,-0.3245,FB_140_E38BA3D2
FB_141_339C8E4B_H3,dollar_amount,$250 million,$298 million,250,298,235,2,0.1926,FB_141_339C8E4B
FB_141_339C8E4B_H2,dollar_amount,"$1,500 million","$1,001 million",1500,1001,655,5,-0.3324,FB_141_339C8E4B
FB_141_339C8E4B_H1,percentage,25%,18.1%,25,18.1,1404,11,-6.9065,FB_141_339C8E4B
FB_142_54C31BE1_H2,dollar_amount,"$1,083.5 million",$830.6 million,1083.5,830.6,73,1,-0.2334,FB_142_54C31BE1
FB_142_54C31BE1_H1,dollar_amount,"$3,829.0 million","$4,411.0 million",3829.0,4411.0,366,5,0.152,FB_142_54C31BE1
FB_143_A0EA48F4_H3,dollar_amount,"$12,000 million","$15,974 million",12000,15974,278,2,0.3312,FB_143_A0EA48F4
FB_143_A0EA48F4_H2,dollar_amount,"$1,500 million","$1,034 million",1500,1034,579,3,-0.3109,FB_143_A0EA48F4
FB_143_A0EA48F4_H1,dollar_amount,"$11,000 million","$8,922 million",11000,8922,804,4,-0.1889,FB_143_A0EA48F4
FB_144_BD395CC4_H2,dollar_amount,"$3,800 million","$2,611 million",3800,2611,160,2,-0.3129,FB_144_BD395CC4
FB_144_BD395CC4_H1,dollar_amount,"$3,600 million","$4,598 million",3600,4598,324,3,0.2772,FB_144_BD395CC4
FB_145_F02E8ED1_H2,dollar_amount,"$27,241 million","$37,936 million",27241,37936,185,3,0.3926,FB_145_F02E8ED1
FB_145_F02E8ED1_H1,dollar_amount,"$12,066 million","$7,911 million",12066,7911,493,3,-0.3443,FB_145_F02E8ED1
FB_146_6EE83766_H3,dollar_amount,"$202,000 million","$127,741 million",202000,127741,212,2,-0.3676,FB_146_6EE83766
FB_146_6EE83766_H2,dollar_amount,"$19,000 million","$15,877 million",19000,15877,318,2,-0.1643,FB_146_6EE83766
FB_146_6EE83766_H1,dollar_amount,"$18,000 million","$12,860 million",18000,12860,433,2,-0.2856,FB_146_6EE83766
FB_147_D81E1F94_H3,dollar_amount,"$164,000 million","$214,715 million",164000,214715,135,2,0.3092,FB_147_D81E1F94
FB_147_D81E1F94_H2,dollar_amount,"$159,000 million","$212,971 million",159000,212971,244,3,0.3394,FB_147_D81E1F94
FB_147_D81E1F94_H1,dollar_amount,"$75,000 million","$50,809 million",75000,50809,707,7,-0.3225,FB_147_D81E1F94
FB_148_2F878B14_H2,dollar_amount,"$1,402 million",$883 million,1402,883,1118,5,-0.3704,FB_148_2F878B14
FB_148_2F878B14_H1,large_number,049308,32542,049308,32542,1322,6,-0.34,FB_148_2F878B14
FB_149_247B6607_H2,dollar_amount,"$24,202 million","$30,045 million",24202,30045,214,2,0.2414,FB_149_247B6607
FB_149_247B6607_H1,percentage,4.7%,16.1%,4.7,16.1,787,3,11.4464,FB_149_247B6607
FB_150_3E3CE551_H2,dollar_amount,"$22,165 million","$14,431 million",22165,14431,1181,8,-0.3489,FB_150_3E3CE551
FB_150_3E3CE551_H1,dollar_amount,"$514,405 million","$347,115 million",514405,347115,1307,9,-0.3252,FB_150_3E3CE551
